ID,Site,Type,pH,Rep,Site_Rep
AN_BR1_4,AN,BR1,4,BR,AN_BR
AN_BR1_5,AN,BR1,5,BR,AN_BR
AN_BR1_6,AN,BR1,6,BR,AN_BR
AN_BR1_8,AN,BR1,8,BR,AN_BR
AN_BR2_4,AN,BR2,4,BR,AN_BR
AN_BR2_5,AN,BR2,5,BR,AN_BR
AN_BR2_6,AN,BR2,6,BR,AN_BR
AN_BR2_8,AN,BR2,8,BR,AN_BR
AN_BR3_4,AN,BR3,4,BR,AN_BR
AN_BR3_5,AN,BR3,5,BR,AN_BR
AN_BR3_6,AN,BR3,6,BR,AN_BR
AN_BR3_8,AN,BR3,8,BR,AN_BR
AN_TR1_4,AN,TR1,4,TR,AN_TR
AN_TR1_5,AN,TR1,5,TR,AN_TR
AN_TR1_6,AN,TR1,6,TR,AN_TR
AN_TR1_8,AN,TR1,8,TR,AN_TR
AN_TR2_4,AN,TR2,4,TR,AN_TR
AN_TR2_5,AN,TR2,5,TR,AN_TR
AN_TR2_6,AN,TR2,6,TR,AN_TR
AN_TR2_8,AN,TR2,8,TR,AN_TR
AN_TR3_4,AN,TR3,4,TR,AN_TR
AN_TR3_5,AN,TR3,5,TR,AN_TR
AN_TR3_6,AN,TR3,6,TR,AN_TR
AN_TR3_8,AN,TR3,8,TR,AN_TR
BB_TR1_4,BB,TR1,4,TR,BB_TR
BB_TR1_5,BB,TR1,5,TR,BB_TR
BB_TR1_6,BB,TR1,6,TR,BB_TR
BB_TR1_8,BB,TR1,8,TR,BB_TR
BB_TR2_4,BB,TR2,4,TR,BB_TR
BB_TR2_5,BB,TR2,5,TR,BB_TR
BB_TR2_6,BB,TR2,6,TR,BB_TR
BB_TR2_8,BB,TR2,8,TR,BB_TR
BB_TR3_4,BB,TR3,4,TR,BB_TR
BB_TR3_5,BB,TR3,5,TR,BB_TR
BB_TR3_6,BB,TR3,6,TR,BB_TR
BB_TR3_8,BB,TR3,8,TR,BB_TR
BB_BR1_4,BB,BR1,4,BR,BB_BR
BB_BR1_5,BB,BR1,5,BR,BB_BR
BB_BR1_6,BB,BR1,6,BR,BB_BR
BB_BR1_8,BB,BR1,8,BR,BB_BR
BB_BR2_4,BB,BR2,4,BR,BB_BR
BB_BR2_5,BB,BR2,5,BR,BB_BR
BB_BR2_6,BB,BR2,6,BR,BB_BR
BB_BR2_8,BB,BR2,8,BR,BB_BR
BB_BR3_4,BB,BR3,4,BR,BB_BR
BB_BR3_5,BB,BR3,5,BR,BB_BR
BB_BR3_6,BB,BR3,6,BR,BB_BR
BB_BR3_8,BB,BR3,8,BR,BB_BR
ML_BR1_4,ML,BR1,4,BR,ML_BR
ML_BR1_5,ML,BR1,5,BR,ML_BR
ML_BR1_6,ML,BR1,6,BR,ML_BR
ML_BR1_8,ML,BR1,8,BR,ML_BR
ML_BR2_4,ML,BR2,4,BR,ML_BR
ML_BR2_5,ML,BR2,5,BR,ML_BR
ML_BR2_6,ML,BR2,6,BR,ML_BR
ML_BR2_8,ML,BR2,8,BR,ML_BR
ML_BR3_4,ML,BR3,4,BR,ML_BR
ML_BR3_5,ML,BR3,5,BR,ML_BR
ML_BR3_6,ML,BR3,6,BR,ML_BR
ML_BR3_8,ML,BR3,8,BR,ML_BR
ML_TR1_4,ML,TR1,4,TR,ML_TR
ML_TR1_5,ML,TR1,5,TR,ML_TR
ML_TR1_6,ML,TR1,6,TR,ML_TR
ML_TR1_8,ML,TR1,8,TR,ML_TR
ML_TR2_4,ML,TR2,4,TR,ML_TR
ML_TR2_5,ML,TR2,5,TR,ML_TR
ML_TR2_6,ML,TR2,6,TR,ML_TR
ML_TR2_8,ML,TR2,8,TR,ML_TR
ML_TR3_4,ML,TR3,4,TR,ML_TR
ML_TR3_5,ML,TR3,5,TR,ML_TR
ML_TR3_6,ML,TR3,6,TR,ML_TR
ML_TR3_8,ML,TR3,8,TR,ML_TR
